evidence_key,source_key,source_locator,literal_variety,canonical_dialect_candidate,evidence_type,tafsiri_summary,notation,verification_status,reviewer_decision,reviewer_notes
LE001_16098CA3681042AD602A03E2,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 12,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_PATTERN,The Nyala-West description distinguishes eight tone melodies.,H/L,UNVERIFIED,,
LE001_D37CCB80B7F4886CF9DF2D92,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 12,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_PATTERN,Nyala-West is analyzed as having predictable tone with toneless roots and inflectional melodies.,H/L,UNVERIFIED,,
LE001_2FF3903A3EBDF7AC9EEA0546,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 21,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_PATTERN,Some inflectional categories contain more than one high-tone melody.,H/L,UNVERIFIED,,
LE001_CCEBEC9AF7800A00497FC233,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 21,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_PATTERN,Luyia verbal tone melodies are numerous and structurally complex across the compared varieties.,H/L,UNVERIFIED,,
LE001_3A6BF92AFBC6BFF55E37D3E6,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 21,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_RULE,The final vowel is a common right-edge target for high-tone melodies.,H/L,UNVERIFIED,,
LE001_F81F2B90971387CE3B3F5571,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 21,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_RULE,High-tone melodies target several different positions at the left edge of the verb.,H/L,UNVERIFIED,,
LE001_D5F03A385F21CF799DEAED51,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 22,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,DIALECT_VARIATION_ASSERTION,The comparative analysis identifies distinct melody behavior in Idakho and Tachoni while leaving aspects of Wanga analysis unresolved.,,UNVERIFIED,,
LE001_ECAE2D285CD071EFC5FAD7A4,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 22,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,DIALECT_VARIATION_ASSERTION,Idakho and Wanga retain root-tone contrasts in the comparison.,,UNVERIFIED,,
LE001_F3B10AE087DD3B4374D28E31,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 22,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,DIALECT_VARIATION_ASSERTION,Idakho shows phrasal tonal alternations relevant to analysis of its verbal tone.,,UNVERIFIED,,
LE001_B90141332972840F36536592,EBARB_GREEN_MARLO_LUYIA_TONE_MELODIES,PDF p. 22,Idakho; Wanga; Tachoni,Idakho; Luwanga; Tachoni,TONE_PATTERN,A low tone on the first syllable is common in the paper?s toned inflectional classes.,H/L,UNVERIFIED,,
LE001_CA549E46381BEE44FF5EEE92,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 10,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,MORPHOPHONOLOGICAL_RULE,Class III modals occur in an infinitival form and do not take the anticausative marker.,,UNVERIFIED,,
LE001_AEBD652F146050A84165C077,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 11,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,SEMANTIC_RULE,Modal force is comparatively fixed while modal flavor varies; Class II is weaker than Class III for priority necessity.,,UNVERIFIED,,
LE001_2BD73BC71C2A15A402C3C8E6,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 12,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,DIALECT_VARIATION_ASSERTION,The borrowed form (m)paka is reported in most surveyed varieties and carries the strongest modal force.,,UNVERIFIED,,
LE001_C12E0AA0143BD9B122F6B5A7,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 13,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,DIALECT_VARIATION_ASSERTION,Lexical modal forms vary across varieties while semantic class membership remains comparatively stable.,,UNVERIFIED,,
LE001_5FF1B893EB03D60D6B4B9395,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 6,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,MODALITY_RULE,"Class I cognate modal verbs across six compared Luyia varieties cover ability, deontic possibility, goal-oriented possibility, and epistemic possibility.",,UNVERIFIED,,
LE001_C4A61A4C649B3817FA1832E7,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 7,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,MODALITY_RULE,The anticausative suffix -ek/-ekh biases Class I modal interpretations toward epistemic possibility.,,UNVERIFIED,,
LE001_DE29A1479E9E0E84B4274F3F,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 8,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,DIALECT_VARIATION_ASSERTION,Luwanga okhwenya and Lusaamia kwenya or kudakhikha illustrate variety-specific Class II forms.,,UNVERIFIED,,
LE001_67629EE1E512A4E8741AAC04,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF p. 9,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,MODALITY_RULE,"Class II priority interpretations generally omit the anticausative morphology, with a Lubukusu exception noted.",,UNVERIFIED,,
LE001_66165732B21123846226E2AE,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF pp. 7?8,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,MODALITY_RULE,Class II modals generally express weak necessity and permit priority and circumstantial readings.,,UNVERIFIED,,
LE001_3B524D0CD8AD16ADD9CF6C98,GLUCKMAN_ETAL_2017_LUYIA_MODALITY,PDF pp. 9?10,Lubukusu; Llogoori; Lunyore; Lusaamia; Lutiriki; Luwanga,Bukusu; Maragoli; Lunyore; Samia; Tiriki; Luwanga,MODALITY_RULE,Class III modals have the strongest force and cover the paper?s necessity categories.,,UNVERIFIED,,
LE001_3C902E2EC5CD5C17D6FA1853,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 16,Luwanga,Luwanga,MORPHOPHONOLOGICAL_RULE,Homorganic nasal assimilation is documented in Luwanga morphology.,,UNVERIFIED,,
LE001_C9F1DA44386C97FB91D767E5,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 16,Luwanga,Luwanga,MORPHOPHONOLOGICAL_RULE,"Vowel deletion, glide formation, insertion, and coalescence are documented for Luwanga.",,UNVERIFIED,,
LE001_D7995A42FE368295602F89C8,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 16,Luwanga,Luwanga,MORPHOPHONOLOGICAL_RULE,Palatalization is one of the morphophonemic processes documented for Luwanga.,,UNVERIFIED,,
LE001_B48B3A8AFE3E1B4E1D0C7E17,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 16,Luwanga,Luwanga,PHONOLOGICAL_PROCESS,The Luwanga study focuses on segmental morphophonemic processes.,,UNVERIFIED,,
LE001_7A8B2D2A125E954B9D018051,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 82,Luwanga,Luwanga,MORPHOPHONOLOGICAL_RULE,Many Luwanga consonant alternations involve a noun-class prefix.,,UNVERIFIED,,
LE001_D87D176B4AD56A94A6B19A22,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 82,Luwanga,Luwanga,NOUN_CLASS_RULE,The class 9 nasal prefix assimilates to a following consonant.,,UNVERIFIED,,
LE001_0BB61924DC72D2E619B38557,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 84,Luwanga,Luwanga,PHONOLOGICAL_PROCESS,A nasal assimilates in place to a following obstruent.,,UNVERIFIED,,
LE001_A0EA17D2EFE07B28AEFA9C9B,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 93,Luwanga,Luwanga,PHONOLOGICAL_PROCESS,High back vowel /u/ becomes the glide /w/ before another vowel.,,UNVERIFIED,,
LE001_B615C6C88A7506D3529CEA5B,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF p. 93,Luwanga,Luwanga,VOWEL_LENGTH_RULE,A sequence of /a+a/ coalesces with compensatory length.,,UNVERIFIED,,
LE001_CBC80A10C42C4F7BEB67AB9C,MARLO_AKIDAH_1999_LUWANGA_MORPHOPHONEMICS,PDF pp. 97?99,Luwanga,Luwanga,PHONOLOGICAL_PROCESS,"High back vowel deletion occurs in casual speech in prefixes including omu-, olu-, and the infinitive oxu-.",,UNVERIFIED,,
LE001_A9431DDC6227A2C9FB53B4EE,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 12,Olumarama,Marama,PHONOLOGICAL_PROCESS,Olumarama nasal-consonant sequences and vowel hiatus trigger several repair processes.,,UNVERIFIED,,
LE001_3333BAED8AA660DE1851F7C6,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 142,Olumarama,Marama,PHONOLOGICAL_PROCESS,Place assimilation repairs some nasal-consonant sequences.,,UNVERIFIED,,
LE001_3F56F641969DB7D4EF1B0D6A,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 142,Olumarama,Marama,PHONOLOGICAL_PROCESS,Glide formation and vowel deletion resolve vowel hiatus.,,UNVERIFIED,,
LE001_562F9CEEFFB80EC2F7515281,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 142,Olumarama,Marama,PHONOLOGICAL_PROCESS,Post-nasal hardening and deletion are also reported for nasal-consonant sequences.,,UNVERIFIED,,
LE001_B5B9F5A96E532AC10F029D6E,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 142,Olumarama,Marama,PHONOLOGICAL_PROCESS,Vowel-height coalescence and consonant epenthesis also resolve vowel hiatus.,,UNVERIFIED,,
LE001_ECD773703504311E12BEBAA9,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 142,Olumarama,Marama,PHONOLOGICAL_PROCESS,Voice assimilation repairs some nasal-consonant sequences.,,UNVERIFIED,,
LE001_779577FAD07E71A2E9F7F175,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 143,Olumarama,Marama,SYLLABLE_RULE,The analysis treats voiceless nasal-consonant sequences and codas as strongly disfavored.,,UNVERIFIED,,
LE001_77D0426DFC26CED1B7CB3071,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 143,Olumarama,Marama,SYLLABLE_RULE,Hiatus and diphthongs are strongly disfavored in the study?s analysis.,,UNVERIFIED,,
LE001_E200F374A99626CE909814BD,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 144,Olumarama,Marama,PHONOLOGICAL_PROCESS,Only [j] and [w] are reported as epenthetic segments in Olumarama hiatus resolution.,,UNVERIFIED,,
LE001_F4F914B4F238BB618BCA330F,MULAMA_2019_OLUMARAMA_PHONOLOGY,PDF p. 144,Olumarama,Marama,PHONOLOGICAL_PROCESS,Nasal-trill sequences most often undergo deletion in Olumarama.,,UNVERIFIED,,
LE001_338489EE21F562E9EB978977,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 316,Bukusu,Bukusu,TONE_RULE,A high tone is inserted on the noun preprefix in specified noun-plus-modifier contexts.,H/L,UNVERIFIED,,
LE001_9B2CD2E783F5BEB525B05571,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,"PDF p. 316, example (8.55)",Bukusu,Bukusu,TONE_PATTERN,"Demonstratives, possessives, relative clauses, ordinal numerals, prepositional phrases, and an interrogative are listed as triggers of preprefix high-tone insertion.",H/L,UNVERIFIED,,
LE001_BECFD53C66EEACB7228CC576,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,DERIVATION_RULE,Bukusu derivational morphology is described as a distinct component alongside inflectional morphology.,,UNVERIFIED,,
LE001_3F7B80893A48B7E9EC8210AB,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,MORPHOPHONOLOGICAL_RULE,"Bukusu nouns, numerals, and adjectives can incorporate a prefix into the reduplicative base under specified conditions.",,UNVERIFIED,,
LE001_6E81D86C8CA945B9186A3A40,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,MORPHOPHONOLOGICAL_RULE,Word category affects what material is copied during Bukusu reduplication.,,UNVERIFIED,,
LE001_91B43B648AFCBF0DB160E18E,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,MORPHOPHONOLOGICAL_RULE,Bukusu verbal reduplication requires the reduplicative base to equal the stem.,,UNVERIFIED,,
LE001_8B7E0F9883651A64FE51E9C9,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,PHONOLOGICAL_PROCESS,The dissertation reports a broad set of segmental phonological processes in Bukusu.,,UNVERIFIED,,
LE001_BF0C5A1D6D60A308A5300E74,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,SYLLABLE_RULE,A minimally bisyllabic base requirement contributes to blocking reduplication of verbs with monosyllabic stems.,,UNVERIFIED,,
LE001_1A85484387B2B4DE90615A5F,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,TENSE_ASPECT_RULE,Tone has a critical role in Bukusu tense and aspect marking.,,UNVERIFIED,,
LE001_429DDF8E15F26AC3768D20C7,MUTONYI_2000_BUKUSU_MORPHOPHONOLOGY,PDF p. 8,Bukusu,Bukusu,TONE_RULE,Bukusu tone also operates within phrasal structures.,H/L,UNVERIFIED,,
LE001_45D27BC4BAABAF68C32BB41E,NANDAMA_2022_LWISUKHA_TONE,PDF p. 21,Lwisukha,Isukha,DIALECT_VARIATION_ASSERTION,The thesis treats Lwisukha as a distinct Luyia variety whose nominal tone system requires variety-specific description.,,UNVERIFIED,,
LE001_24B8D80EB7C1CA59F1AE8E50,NANDAMA_2022_LWISUKHA_TONE,PDF p. 21,Lwisukha,Isukha,SEMANTIC_RULE,Tone has contrastive and grammatical functions in the Lwisukha nominal system.,,UNVERIFIED,,
LE001_4D83E133A5B7F8C3349BA26D,NANDAMA_2022_LWISUKHA_TONE,PDF p. 21,Lwisukha,Isukha,TONE_PATTERN,"Lwisukha nouns display describable tone patterns in isolation, phrases, and sentences.",H/L,UNVERIFIED,,
LE001_8B2995325312F5B238EAD03F,NANDAMA_2022_LWISUKHA_TONE,PDF p. 21,Lwisukha,Isukha,TONE_PATTERN,"The analysis assesses whether Lwisukha combines conservative, predictable, and reversed tone-system properties.",H/L,UNVERIFIED,,
LE001_3D1F83C0EBE3767008CD805F,NANDAMA_2022_LWISUKHA_TONE,PDF p. 21,Lwisukha,Isukha,TONE_RULE,Tone rules apply within Lwisukha noun phrases.,H/L,UNVERIFIED,,
LE001_D5950F3C460E5DE15A6E4CA7,NANDAMA_2022_LWISUKHA_TONE,PDF p. 340,Lwisukha,Isukha,TONE_PATTERN,One documented noun group is realized with low tone throughout.,H/L,UNVERIFIED,,
LE001_1C3E2F19F217E9712DD6E3E5,NANDAMA_2022_LWISUKHA_TONE,PDF p. 341,Lwisukha,Isukha,TONE_PATTERN,"A documented noun group has high tone on the prefix and stem-initial syllable, followed by low tones.",H/L,UNVERIFIED,,
LE001_166EB539761F48DB38564D0C,NANDAMA_2022_LWISUKHA_TONE,PDF p. 344,Lwisukha,Isukha,TONE_PATTERN,The prefix-plus-stem-initial high pattern also occurs with long stem-initial vowels.,H/L,UNVERIFIED,,
LE001_53B978A412FDDCCCC147568C,NANDAMA_2022_LWISUKHA_TONE,PDF pp. 340?345,Lwisukha,Isukha,PROSODIC_RULE,Vowel length is preserved in the phonetic representations used in the noun-tone classification.,,UNVERIFIED,,
LE001_B9E173D0446878EA99DDA466,NANDAMA_2022_LWISUKHA_TONE,PDF pp. 341?343,Lwisukha,Isukha,TONE_PATTERN,The prefix-plus-stem-initial high pattern occurs across multiple noun classes and singular-plural pairings.,H/L,UNVERIFIED,,
LE001_FAEB0ED03196AF1B85C758D0,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 17,Lubukusu,Bukusu,PHONOLOGICAL_PROCESS,Dissimilar heterosyllabic vowel sequences undergo repair in Lubukusu.,,UNVERIFIED,,
LE001_613C754ABFB1165E8171F96F,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 17,Lubukusu,Bukusu,SYLLABLE_RULE,Lubukusu phonological processes are analyzed as constrained by syllable structure.,,UNVERIFIED,,
LE001_644F5BAF92CC63372F1A78C3,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 17,Lubukusu,Bukusu,SYLLABLE_RULE,The study treats avoidance of nasal-consonant sequences as a markedness-driven pattern.,,UNVERIFIED,,
LE001_8E83CB0CB8ED364DB3F8D819,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 17,Lubukusu,Bukusu,SYLLABLE_RULE,Syllable position can initiate or block Lubukusu phonological processes.,,UNVERIFIED,,
LE001_B8258C6CD4E121149CC07A3E,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 17,Lubukusu,Bukusu,SYLLABLE_RULE,Lubukusu reduplication can produce emergent CV syllables.,,UNVERIFIED,,
LE001_C7A7CABD0447B3916886E184,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 54,Lubukusu,Bukusu,MORPHOPHONOLOGICAL_RULE,The prosodic requirements of the language condition the shape of reduplicants.,,UNVERIFIED,,
LE001_D5F0B86D10E519080FBC3E7D,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 54,Lubukusu,Bukusu,PHONOLOGICAL_PROCESS,Vowel insertion breaks up otherwise illicit onset clusters.,,UNVERIFIED,,
LE001_E48466C7994C91621D145671,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 54,Lubukusu,Bukusu,SYLLABLE_RULE,Lubukusu does not tolerate onset consonant clusters.,,UNVERIFIED,,
LE001_EDE06A567F62238A4E14EE44,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 54,Lubukusu,Bukusu,SYLLABLE_RULE,Lubukusu does not tolerate consonants in coda position.,,UNVERIFIED,,
LE001_FAEAC664041E12140B66BAAC,NANDELENGA_2014_LUBUKUSU_SYLLABLE,PDF p. 54,Lubukusu,Bukusu,SYLLABLE_RULE,The canonical CV syllable is central to the analysis of Lubukusu sound patterns.,,UNVERIFIED,,
LE001_43E3020EF7960034611E962E,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,LEXICAL_CATEGORY_ASSERTION,Kisa wordhood includes two structural types: affixal words and clitic words.,,UNVERIFIED,,
LE001_78B96CA0F3C7C00A4AED7850,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,MORPHOPHONOLOGICAL_RULE,Morphological criteria also contribute to determining Kisa wordhood.,,UNVERIFIED,,
LE001_1D0FDCD59A56BEFAD19EDF47,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,NOUN_CLASS_RULE,Nominal morphology is part of the documented Kisa word structure.,,UNVERIFIED,,
LE001_7A77C7A0AB25B2DDD64E85B5,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,PHONEME_INVENTORY,The Kisa description establishes a segmental inventory and evaluates nasal-consonant sequences.,,UNVERIFIED,,
LE001_007717407929E884AFBDA21B,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,PHONOLOGICAL_PROCESS,Kisa resolves vowel hiatus at the phonology-morphology interface.,,UNVERIFIED,,
LE001_97CFB111442FB80A704E718F,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,PHONOLOGICAL_PROCESS,Phonological criteria contribute to determining wordhood in Kisa.,,UNVERIFIED,,
LE001_1F007B9B1DAD73BA370A5859,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,SYLLABLE_RULE,Syllable structure is a core component of Kisa word structure.,,UNVERIFIED,,
LE001_AA2E6ACDD47E7AE807116CC5,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 12,Kisa,Kisa,VERB_TEMPLATE,Verbal morphology is part of the documented Kisa word structure.,,UNVERIFIED,,
LE001_73D7E3A8B5ED8B5628AB5CDF,OND0NDO_2013_KISA_WORD_STRUCTURE,PDF p. 79,Kisa,Kisa,LEXICAL_CATEGORY_ASSERTION,Interjections display phonological patterns that distinguish them within the Kisa word system.,,UNVERIFIED,,
LE001_82B9329A5AC296B2F491DB3D,OND0NDO_2013_KISA_WORD_STRUCTURE,"PDF p. 79, example (30)",Kisa,Kisa,VOWEL_LENGTH_RULE,Kisa interjections may contain underlying long vowels word-finally.,,UNVERIFIED,,
LE001_77933D8170C53600DE8D816B,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 28,Lwidakho,Idakho,DIALECT_VARIATION_ASSERTION,The paper reports different loanword outcomes associated with extensive bilingualism and casual contact.,,UNVERIFIED,,
LE001_E316A2422DAF7DF8B2E473DF,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 28,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,Epenthetic vowels occur after donor-language coda consonants to create open syllables.,,UNVERIFIED,,
LE001_53057CF364C84B707D234223,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 28,Lwidakho,Idakho,SYLLABLE_RULE,Lwidakho permits open syllables in the loanword data.,,UNVERIFIED,,
LE001_37D66294BFE25A3DD410613E,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 48,Lwidakho,Idakho,ALLOPHONIC_RULE,Some donor bilabial stops are adapted as the voiced bilabial fricative [β].,[β],UNVERIFIED,,
LE001_353BCA5FC92A8358B10283D0,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 48,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,Alveolar and velar plosives in the study?s loanword sample are faithfully adapted.,,UNVERIFIED,,
LE001_1A20DD882BAF54F8B6D6F824,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 5,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,English and Kiswahili consonants absent from Lwidakho are adapted through substitution.,,UNVERIFIED,,
LE001_6CE2C7AA574C7050683A1C71,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 5,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,Borrowed English and Kiswahili syllable structures are reshaped toward CV syllables in Lwidakho.,,UNVERIFIED,,
LE001_8552C9D298D5BDFAEFADFCBE,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 5,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,Vowel epenthesis is preferred over consonant deletion for repairing illicit codas and consonant clusters.,,UNVERIFIED,,
LE001_E243590E39F93E2BAB724F68,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF p. 89,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,"The limited consonant deletions reported occur in English loanwords, especially involving coda laterals.",,UNVERIFIED,,
LE001_9C9A7108777D38A13BB2C8E7,SHIDIAVAI_2015_LWIDAKHO_LOANWORDS,PDF pp. 96?97,Lwidakho,Idakho,LOANWORD_ADAPTATION_RULE,The study analyzes consonant substitution using a feature hierarchy in which manner outranks place and voice.,,UNVERIFIED,,
