sample_sequence,sample_group,dictionary_entry_id,word,word_normalized,english_definition,part_of_speech,noun_class,dialect,bucket,mapping_status,ambiguity_action,heuristic_confidence,proposed_concept_key,heuristic_flags,ambiguity_indicators,reason_codes,repeated_form_count,distinct_definition_count,same_definition_form_count,other_definitions_for_form,reviewer_decision,reviewer_concept_label,reviewer_definition,reviewer_notes,pipeline_bucket_correct,pipeline_ambiguity_correct
11,targeted_edge,aa7d2483-d4bf-4fc0-a094-8d12bec97e5f,libafu,libafu,procession of safari ants,n.,,Luwanga,C,needs_split,polysemy,0.15,,[],"[""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""bath (<Swahili)""]",,,,,,
12,targeted_edge,43627e35-94c9-4d53-b3e0-169186b44bf7,induli,induli,succulent fruit as big as indula,n.,,Luwanga,C,needs_split,polysemy,0.15,,[],"[""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""rebellion; mutiny""]",,,,,,
13,targeted_edge,e5264646-de71-4364-b457-e8b01ab4857c,induli,induli,rebellion; mutiny,n.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",2,2,1,"[""succulent fruit as big as indula""]",,,,,,
14,targeted_edge,802eeb59-f5af-48a0-b836-98568df46ed2,okhubala,okhubala,"shine, of sunshine (rare)",v.int.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""contextual_language"", ""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""count""]",,,,,,
15,targeted_edge,9777393b-5815-430b-948a-9bd1d1c5f9c6,okhubala,okhubala,count,v.int./tr.,,Luwanga,C,needs_split,polysemy,0.05,,[],"[""compound_part_of_speech"", ""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""COMPOUND_PART_OF_SPEECH"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""shine, of sunshine (rare)""]",,,,,,
16,targeted_edge,e3e31f84-9cc7-480b-9426-51525e2d0928,okhuluma,okhuluma,bite; pain; copulate (of rooster); inzala inuma 'I am hungry' (lit. 'hunger is biting me'); inda inuma 'my stomach is aching' (lit. 'the stomach is biting me'); yalumwa okhwibula 'she was in labour' (lit. 'she has been bitten by giving birth'),v.tr.,,Luwanga,C,needs_split,likely_split,0.25,,"[""context_marker:lit.""]","[""contextual_language"", ""long_commentary_definition"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""LONG_COMMENTARY_DEFINITION"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
17,targeted_edge,1b33613c-776b-4bd8-9187-8f6c803cf5d1,imere,imere,"grain, millet and/or obule",n.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""slash_segments"", ""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""SLASH_SEGMENTS"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
18,targeted_edge,028493c0-6fb1-401e-bfde-0aec56cef8c5,okhusasara,okhusasara,itch; sting; burn,v.int./tr.,,Luwanga,C,needs_split,likely_split,0.35,,[],"[""compound_part_of_speech"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""COMPOUND_PART_OF_SPEECH"", ""SEMICOLON_SEGMENTS""]",1,1,1,[],,,,,,
19,targeted_edge,002fc13b-6ddb-406f-9e29-4b83df8959cf,okhuuyibwa,okhuuyibwa,"be expelled; be turned out of one’s house, or out of the district; be compelled to move",v.pass.,,Luwanga,C,needs_split,likely_split,0.45,,[],"[""semicolon_segments"", ""standalone_or""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS"", ""STANDALONE_OR""]",1,1,1,[],,,,,,
20,targeted_edge,034138f1-634d-451d-afd5-6a800eb5312c,khulwenyu,khulwenyu,for your part; on your account,adv.,pl,Luwanga,C,needs_split,likely_split,0.3,,[],"[""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""]",1,1,3,[],,,,,,
21,bucket_A,39bac743-999d-44b3-b19a-c9b2314c7351,omulembe,omulembe,peace,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
22,bucket_A,5a534f97-76b4-4e88-9f2b-f404ea9d4225,okhwikonya,okhwikonya,examine oneself,v.refl.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
23,bucket_A,b4290741-cb8d-47a5-a6a8-7eb4a25ed7c7,okhuruta,okhuruta,rub hard,v.tr.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
24,bucket_A,dfb6779f-60ad-4904-b5fc-bd15fd67059f,okhubasibwa,okhubasibwa,be counted,v.pass.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
25,bucket_A,946fcc5b-601f-42a0-b6f9-e3e7bf564ad0,amalia,amalia,marriages,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
26,bucket_A,0f03ca2c-94cf-49e2-8c0e-2ed70bbfb499,okhwibirira,okhwibirira,forget,v.tr.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
27,bucket_A,2ab9a200-5110-4427-bedb-3d7135e80012,ingokho yeshitakho,ingokho yeshitakho,large hen,np,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
28,bucket_A,400f0637-61a6-4d8e-bd77-75ec32e472ee,tsinimi tsiambanga,tsinimi tsiambanga,foreign languages,np,,Luwanga,A,proposed,,0.65,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,2,[],,,,,,
29,bucket_A,22c1d229-988b-4fab-8e9e-e6673e6e5055,amatsukhu,amatsukhu,lungs,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
30,bucket_A,d2bd4d21-0076-4fcd-bfaf-62f148dc3ab4,okhusikama,okhusikama,kneel,v.int.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
31,bucket_A,c2204078-209c-417c-8963-4a1a7fdff163,eshisukuti,eshisukuti,biscuit,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
32,bucket_A,8cd77ee0-aeb2-4033-897f-1d44e7f54445,omulinjishi,omulinjishi,righteous man,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
33,bucket_A,b5fae70e-4587-46ee-b644-8ced48c1500c,eshifundesano,eshifundesano,head-cold,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
34,bucket_A,39f204c2-d1fb-4d93-add6-0e6937611553,-samukhu,-samukhu,unclean,adj.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
35,bucket_A,ceb05f04-1a91-4dfb-8b1b-3f3e5733403e,lifumo,lifumo,spear,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
36,bucket_A,ce92900d-f94c-4f2a-b0fe-9efbe80893e3,eshirikisa,eshirikisa,hiccup,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
37,bucket_A,62a11d90-8be9-46a5-a0c4-973dfc3c0ac5,olubeka,olubeka,side,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
38,bucket_A,25c77510-45ef-458e-b6d0-cb8980944dda,inguche,inguche,baboon,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
39,bucket_A,b6913eed-cf41-4e79-a38a-6e5b0ce8d3f7,okhwarasia,okhwarasia,split,v.tr.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
40,bucket_A,3fc79f95-4c65-445c-b994-b8f447c34128,okhumwenya,okhumwenya,smile,v.int.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
41,bucket_A,ff69983b-88e9-4367-95d5-458ce280a2b3,okhukwalasia,okhukwalasia,level,v.tr.,,Luwanga,A,proposed,,0.65,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,2,[],,,,,,
42,bucket_A,223b842d-0213-4374-9e3a-1002aa194f2b,okhwama,okhwama,bear fruit,v.tr.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
43,bucket_A,7837b6e0-b925-4185-9457-93c5cb6386ad,olukulu/eshikulu,olukulu/eshikulu,mountain,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
44,bucket_A,7f60b203-d142-4727-85b6-4cf13abbf7c7,amatsi kaire,amatsi kaire,hot water,np,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
45,bucket_A,513d9c65-d64a-46e9-b939-8da4db34c4a1,ne khandi,ne khandi,emphatic colloquial affirmative,excl.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
46,bucket_A,0e19e0c5-3e2a-473d-baa7-993529c3a545,omurabe,omurabe,sausage-tree,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
47,bucket_A,0b9abbd3-16e1-497b-9a53-ebbfbdd08f31,ing'oli,ing'oli,cow-pea,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
48,bucket_A,627b8fd4-9f18-45cc-8e1a-6e3bbeb5f321,okhuwa,okhuwa,give,v.tr.,,Luwanga,A,proposed,,0.65,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,2,[],,,,,,
49,bucket_A,4b3a5907-4860-4adc-a0ad-0a0b093bcbb3,ipasi,ipasi,laundry iron,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
50,bucket_A,d55c5274-9180-4cd5-a35f-941e5376ada5,eshiro shia lwalero,eshiro shia lwalero,tonight,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
51,bucket_A,91d7108b-bd97-4c03-961c-9b47f5cdba35,okhucherekha,okhucherekha,be despised,v.int.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
52,bucket_A,30446acc-8f2c-4f42-9937-6d106b7af54f,okhwirukha emiribiri,okhwirukha emiribiri,run quickly,vp,,Luwanga,A,proposed,,0.65,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,4,[],,,,,,
53,bucket_A,e639636d-5500-4f0b-8665-ce867d32c140,indolio,indolio,bullet,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
54,bucket_A,86899301-0701-4166-8730-f63000fc2dad,okhuulukha,okhuulukha,rest,v.int.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
55,bucket_A,6237e8c9-0c32-4a0a-b792-1c98367c60b9,isiche,isiche,locust,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
56,bucket_A,9425dd5c-45ec-4510-900d-0a02b397005a,eliuba,eliuba,sun,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
57,bucket_A,744c806e-788f-4f19-868f-e329d8ff6621,libaye,libaye,tares,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
58,bucket_A,7a10235d-a802-4354-b856-66081294f4af,okhuchonyia,okhuchonyia,tire out,v.tr.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
59,bucket_A,fa79ed3f-b56d-40bd-b214-4b1d6033eb38,imbalo,imbalo,knife,n.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
60,bucket_A,2b914971-50f2-46d1-948a-c7aab470ff2e,okhufunana,okhufunana,argue,v.int.,,Luwanga,A,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
61,bucket_B,6ed034d5-1dee-4b33-a0ae-751f65c8d5bf,abundu,abundu,place,n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""BROAD_GLOSS_REVIEW"", ""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
62,bucket_B,fdb5551c-7f94-4b41-8b9d-e0adb3b77b6a,ingobi,ingobi,"umbilical cord, after it has been cut",n.,,Luwanga,B,proposed,,0.7,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
63,bucket_B,912fcc9b-5866-43f8-b77e-c6bf9d6fc4bf,lina?,lina?,when?,wh.,,Luwanga,B,proposed,,0.85,,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""]",[],"[""QUICK_HUMAN_REVIEW""]",1,1,1,[],,,,,,
